event_type,participant_id,study_id,session_id,date,t_global,screen_name,phase,movement_type,t_step_press_global,t_step_press_curr_run,length_step,curr_loc_x,curr_loc_z,to_loc_x,to_loc_z,t_step_end_global,key_pressed,from_rotation,to_rotation,curr_rew_x,curr_rew_z,state,type,trial,task,distance,t_reward_start,reward_delay,reward_found,player_steps,shortest_path,is_optimal,package_number
screen,,,,2026-08-21,1787307371.75459,cue_panel,onset,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,0
screen,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-21,1787307377.24728,cue_panel,button_press,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,1
screen,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-21,1787307377.24865,cue_panel,offset,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,1
screen,TEST_PARTICIPANT,TEST_STUDY,TEST_SESSION,2026-08-21,1787307377.25139,instruction,onset,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,0,0,0,False,0,0,False,1
